array_type,size,algorithm,time_microseconds,char_operations
Random,100,MergeSort,24.12,607
Random,100,QuickSort,15.86,13897
Random,100,StringMergeSort,81.78,509
Random,100,StringQuickSort,2.17,1053
Random,100,MsdRadixSort,21.30,366
Random,100,MsdRadixQuickSort,7.25,310
Reverse sorted,100,MergeSort,21.55,595
Reverse sorted,100,QuickSort,14.41,14511
Reverse sorted,100,StringMergeSort,78.37,348
Reverse sorted,100,StringQuickSort,1.69,901
Reverse sorted,100,MsdRadixSort,20.84,478
Reverse sorted,100,MsdRadixQuickSort,7.75,724
Almost sorted,100,MergeSort,18.56,754
Almost sorted,100,QuickSort,14.76,12276
Almost sorted,100,StringMergeSort,78.25,374
Almost sorted,100,StringQuickSort,1.68,923
Almost sorted,100,MsdRadixSort,14.97,460
Almost sorted,100,MsdRadixQuickSort,6.47,688
Common prefixes,100,MergeSort,22.23,1949
Common prefixes,100,QuickSort,15.77,15738
Common prefixes,100,StringMergeSort,79.29,867
Common prefixes,100,StringQuickSort,2.41,1615
Common prefixes,100,MsdRadixSort,33.04,1240
Common prefixes,100,MsdRadixQuickSort,7.52,1432
Random,200,MergeSort,48.78,1490
Random,200,QuickSort,45.91,30416
Random,200,StringMergeSort,179.81,1168
Random,200,StringQuickSort,2.96,2034
Random,200,MsdRadixSort,28.38,780
Random,200,MsdRadixQuickSort,9.72,728
Reverse sorted,200,MergeSort,73.51,1307
Reverse sorted,200,QuickSort,40.34,30012
Reverse sorted,200,StringMergeSort,157.22,719
Reverse sorted,200,StringQuickSort,3.20,2014
Reverse sorted,200,MsdRadixSort,35.45,950
Reverse sorted,200,MsdRadixQuickSort,13.18,1462
Almost sorted,200,MergeSort,36.22,1715
Almost sorted,200,QuickSort,26.05,27421
Almost sorted,200,StringMergeSort,137.65,757
Almost sorted,200,StringQuickSort,3.07,1940
Almost sorted,200,MsdRadixSort,24.98,898
Almost sorted,200,MsdRadixQuickSort,11.53,1319
Common prefixes,200,MergeSort,47.51,5263
Common prefixes,200,QuickSort,30.34,31673
Common prefixes,200,StringMergeSort,139.75,2003
Common prefixes,200,StringQuickSort,4.49,3792
Common prefixes,200,MsdRadixSort,67.74,2624
Common prefixes,200,MsdRadixQuickSort,13.51,3335
Random,300,MergeSort,68.87,2516
Random,300,QuickSort,42.08,42921
Random,300,StringMergeSort,239.27,1876
Random,300,StringQuickSort,5.37,3400
Random,300,MsdRadixSort,44.98,1204
Random,300,MsdRadixQuickSort,15.04,1294
Reverse sorted,300,MergeSort,58.31,1996
Reverse sorted,300,QuickSort,31.77,41069
Reverse sorted,300,StringMergeSort,210.22,1040
Reverse sorted,300,StringQuickSort,4.31,3149
Reverse sorted,300,MsdRadixSort,47.71,1436
Reverse sorted,300,MsdRadixQuickSort,17.63,2164
Almost sorted,300,MergeSort,56.50,2840
Almost sorted,300,QuickSort,39.70,45004
Almost sorted,300,StringMergeSort,237.12,1205
Almost sorted,300,StringQuickSort,4.21,3123
Almost sorted,300,MsdRadixSort,37.12,1368
Almost sorted,300,MsdRadixQuickSort,16.45,2019
Common prefixes,300,MergeSort,73.27,9137
Common prefixes,300,QuickSort,42.11,51829
Common prefixes,300,StringMergeSort,221.62,3210
Common prefixes,300,StringQuickSort,6.48,6126
Common prefixes,300,MsdRadixSort,73.17,4072
Common prefixes,300,MsdRadixQuickSort,21.83,5455
Random,400,MergeSort,91.79,3654
Random,400,QuickSort,53.42,58573
Random,400,StringMergeSort,271.54,2673
Random,400,StringQuickSort,6.39,4670
Random,400,MsdRadixSort,52.74,1642
Random,400,MsdRadixQuickSort,18.46,1816
Reverse sorted,400,MergeSort,80.41,2821
Reverse sorted,400,QuickSort,40.06,57798
Reverse sorted,400,StringMergeSort,257.14,1447
Reverse sorted,400,StringQuickSort,8.71,4353
Reverse sorted,400,MsdRadixSort,59.80,1906
Reverse sorted,400,MsdRadixQuickSort,20.28,2877
Almost sorted,400,MergeSort,69.58,4009
Almost sorted,400,QuickSort,43.58,57294
Almost sorted,400,StringMergeSort,261.41,1668
Almost sorted,400,StringQuickSort,5.54,4853
Almost sorted,400,MsdRadixSort,49.95,1832
Almost sorted,400,MsdRadixQuickSort,20.27,2747
Common prefixes,400,MergeSort,92.63,13148
Common prefixes,400,QuickSort,96.40,70164
Common prefixes,400,StringMergeSort,269.59,4417
Common prefixes,400,StringQuickSort,8.03,8162
Common prefixes,400,MsdRadixSort,85.95,5492
Common prefixes,400,MsdRadixQuickSort,28.97,7359
Random,500,MergeSort,106.48,4863
Random,500,QuickSort,60.03,76841
Random,500,StringMergeSort,370.20,3488
Random,500,StringQuickSort,8.19,6904
Random,500,MsdRadixSort,59.01,2072
Random,500,MsdRadixQuickSort,21.88,2531
Reverse sorted,500,MergeSort,97.24,3740
Reverse sorted,500,QuickSort,37.93,58732
Reverse sorted,500,StringMergeSort,293.50,1850
Reverse sorted,500,StringQuickSort,6.29,5654
Reverse sorted,500,MsdRadixSort,68.33,2420
Reverse sorted,500,MsdRadixQuickSort,27.83,3665
Almost sorted,500,MergeSort,84.93,5051
Almost sorted,500,QuickSort,51.22,72227
Almost sorted,500,StringMergeSort,270.10,2027
Almost sorted,500,StringQuickSort,5.95,5787
Almost sorted,500,MsdRadixSort,50.71,2290
Almost sorted,500,MsdRadixQuickSort,20.62,3432
Common prefixes,500,MergeSort,107.30,17460
Common prefixes,500,QuickSort,79.06,90061
Common prefixes,500,StringMergeSort,312.85,5639
Common prefixes,500,StringQuickSort,9.57,11555
Common prefixes,500,MsdRadixSort,103.44,6966
Common prefixes,500,MsdRadixQuickSort,41.77,8331
Random,600,MergeSort,126.04,6087
Random,600,QuickSort,66.31,89498
Random,600,StringMergeSort,377.93,4302
Random,600,StringQuickSort,8.98,8071
Random,600,MsdRadixSort,90.50,2514
Random,600,MsdRadixQuickSort,28.47,3211
Reverse sorted,600,MergeSort,102.54,4317
Reverse sorted,600,QuickSort,51.23,81388
Reverse sorted,600,StringMergeSort,343.30,2083
Reverse sorted,600,StringQuickSort,7.07,6862
Reverse sorted,600,MsdRadixSort,75.77,2890
Reverse sorted,600,MsdRadixQuickSort,25.69,4383
Almost sorted,600,MergeSort,95.59,6459
Almost sorted,600,QuickSort,57.14,87194
Almost sorted,600,StringMergeSort,411.33,2574
Almost sorted,600,StringQuickSort,7.11,7410
Almost sorted,600,MsdRadixSort,57.97,2752
Almost sorted,600,MsdRadixQuickSort,25.15,4133
Common prefixes,600,MergeSort,142.67,21919
Common prefixes,600,QuickSort,71.55,112519
Common prefixes,600,StringMergeSort,369.71,6884
Common prefixes,600,StringQuickSort,15.51,13083
Common prefixes,600,MsdRadixSort,119.80,8410
Common prefixes,600,MsdRadixQuickSort,62.15,9571
Random,700,MergeSort,213.71,7434
Random,700,QuickSort,73.75,105297
Random,700,StringMergeSort,452.44,5174
Random,700,StringQuickSort,10.33,9395
Random,700,MsdRadixSort,68.89,2962
Random,700,MsdRadixQuickSort,27.12,4002
Reverse sorted,700,MergeSort,117.69,5215
Reverse sorted,700,QuickSort,59.57,104565
Reverse sorted,700,StringMergeSort,547.04,2552
Reverse sorted,700,StringQuickSort,8.15,8125
Reverse sorted,700,MsdRadixSort,83.41,3362
Reverse sorted,700,MsdRadixQuickSort,32.00,5092
Almost sorted,700,MergeSort,116.33,7720
Almost sorted,700,QuickSort,68.60,102489
Almost sorted,700,StringMergeSort,405.25,3039
Almost sorted,700,StringQuickSort,11.84,9560
Almost sorted,700,MsdRadixSort,76.43,3232
Almost sorted,700,MsdRadixQuickSort,37.13,4849
Common prefixes,700,MergeSort,268.06,26294
Common prefixes,700,QuickSort,84.99,131597
Common prefixes,700,StringMergeSort,499.60,8111
Common prefixes,700,StringQuickSort,12.55,15417
Common prefixes,700,MsdRadixSort,146.08,9852
Common prefixes,700,MsdRadixQuickSort,77.25,9809
Random,800,MergeSort,235.54,8800
Random,800,QuickSort,84.51,118385
Random,800,StringMergeSort,560.53,6104
Random,800,StringQuickSort,12.76,11696
Random,800,MsdRadixSort,83.73,3400
Random,800,MsdRadixQuickSort,34.43,4807
Reverse sorted,800,MergeSort,160.83,6068
Reverse sorted,800,QuickSort,80.45,119028
Reverse sorted,800,StringMergeSort,511.14,2900
Reverse sorted,800,StringQuickSort,9.92,9532
Reverse sorted,800,MsdRadixSort,98.79,3836
Reverse sorted,800,MsdRadixQuickSort,45.08,5848
Almost sorted,800,MergeSort,137.59,8908
Almost sorted,800,QuickSort,79.96,118819
Almost sorted,800,StringMergeSort,551.47,3452
Almost sorted,800,StringQuickSort,12.04,11006
Almost sorted,800,MsdRadixSort,84.72,3746
Almost sorted,800,MsdRadixQuickSort,33.48,5626
Common prefixes,800,MergeSort,205.38,31142
Common prefixes,800,QuickSort,102.74,149038
Common prefixes,800,StringMergeSort,603.47,9430
Common prefixes,800,StringQuickSort,15.03,18363
Common prefixes,800,MsdRadixSort,157.53,11330
Common prefixes,800,MsdRadixQuickSort,93.97,10833
Random,900,MergeSort,221.00,10184
Random,900,QuickSort,103.40,133287
Random,900,StringMergeSort,652.04,6974
Random,900,StringQuickSort,17.62,13925
Random,900,MsdRadixSort,94.63,3858
Random,900,MsdRadixQuickSort,39.14,5751
Reverse sorted,900,MergeSort,167.72,6952
Reverse sorted,900,QuickSort,69.46,123141
Reverse sorted,900,StringMergeSort,633.14,3253
Reverse sorted,900,StringQuickSort,11.02,11011
Reverse sorted,900,MsdRadixSort,117.77,4336
Reverse sorted,900,MsdRadixQuickSort,42.92,6615
Almost sorted,900,MergeSort,163.67,10326
Almost sorted,900,QuickSort,89.23,135180
Almost sorted,900,StringMergeSort,633.98,4017
Almost sorted,900,StringQuickSort,12.56,11466
Almost sorted,900,MsdRadixSort,99.09,4238
Almost sorted,900,MsdRadixQuickSort,41.12,6429
Common prefixes,900,MergeSort,248.92,35787
Common prefixes,900,QuickSort,128.72,171104
Common prefixes,900,StringMergeSort,713.38,10700
Common prefixes,900,StringQuickSort,17.04,20276
Common prefixes,900,MsdRadixSort,184.41,12790
Common prefixes,900,MsdRadixQuickSort,108.21,12246
Random,1000,MergeSort,260.00,11605
Random,1000,QuickSort,117.28,151182
Random,1000,StringMergeSort,746.61,7882
Random,1000,StringQuickSort,18.35,14933
Random,1000,MsdRadixSort,112.09,4318
Random,1000,MsdRadixQuickSort,44.42,6619
Reverse sorted,1000,MergeSort,193.64,8027
Reverse sorted,1000,QuickSort,74.53,122646
Reverse sorted,1000,StringMergeSort,701.29,3745
Reverse sorted,1000,StringQuickSort,14.47,12629
Reverse sorted,1000,MsdRadixSort,126.97,4836
Reverse sorted,1000,MsdRadixQuickSort,46.73,7413
Almost sorted,1000,MergeSort,200.39,11417
Almost sorted,1000,QuickSort,105.04,147068
Almost sorted,1000,StringMergeSort,696.59,4503
Almost sorted,1000,StringQuickSort,14.25,12983
Almost sorted,1000,MsdRadixSort,114.50,4742
Almost sorted,1000,MsdRadixQuickSort,47.30,7249
Common prefixes,1000,MergeSort,298.19,40642
Common prefixes,1000,QuickSort,152.58,196224
Common prefixes,1000,StringMergeSort,700.89,11960
Common prefixes,1000,StringQuickSort,20.45,22245
Common prefixes,1000,MsdRadixSort,213.91,14266
Common prefixes,1000,MsdRadixQuickSort,149.87,13654
Random,1100,MergeSort,305.33,13051
Random,1100,QuickSort,127.62,167529
Random,1100,StringMergeSort,846.85,8790
Random,1100,StringQuickSort,17.47,15810
Random,1100,MsdRadixSort,116.52,4794
Random,1100,MsdRadixQuickSort,48.24,7493
Reverse sorted,1100,MergeSort,216.45,8792
Reverse sorted,1100,QuickSort,79.73,139079
Reverse sorted,1100,StringMergeSort,1124.62,4093
Reverse sorted,1100,StringQuickSort,48.43,13864
Reverse sorted,1100,MsdRadixSort,363.75,5302
Reverse sorted,1100,MsdRadixQuickSort,122.51,8104
Almost sorted,1100,MergeSort,638.99,12956
Almost sorted,1100,QuickSort,342.36,166490
Almost sorted,1100,StringMergeSort,1081.25,5020
Almost sorted,1100,StringQuickSort,51.83,14744
Almost sorted,1100,MsdRadixSort,284.85,5208
Almost sorted,1100,MsdRadixQuickSort,80.17,7962
Common prefixes,1100,MergeSort,376.60,45767
Common prefixes,1100,QuickSort,147.18,212323
Common prefixes,1100,StringMergeSort,997.79,13310
Common prefixes,1100,StringQuickSort,23.86,24962
Common prefixes,1100,MsdRadixSort,243.55,15738
Common prefixes,1100,MsdRadixQuickSort,165.62,15117
Random,1200,MergeSort,444.12,14525
Random,1200,QuickSort,138.80,180605
Random,1200,StringMergeSort,960.88,9729
Random,1200,StringQuickSort,21.29,18194
Random,1200,MsdRadixSort,139.73,5274
Random,1200,MsdRadixQuickSort,57.08,8344
Reverse sorted,1200,MergeSort,256.98,9381
Reverse sorted,1200,QuickSort,98.99,162098
Reverse sorted,1200,StringMergeSort,844.23,4297
Reverse sorted,1200,StringQuickSort,15.89,15469
Reverse sorted,1200,MsdRadixSort,151.53,5778
Reverse sorted,1200,MsdRadixQuickSort,58.63,8862
Almost sorted,1200,MergeSort,261.14,14393
Almost sorted,1200,QuickSort,124.22,173655
Almost sorted,1200,StringMergeSort,803.41,5479
Almost sorted,1200,StringQuickSort,17.37,16807
Almost sorted,1200,MsdRadixSort,134.99,5690
Almost sorted,1200,MsdRadixQuickSort,56.58,8703
Common prefixes,1200,MergeSort,430.40,51004
Common prefixes,1200,QuickSort,169.44,230034
Common prefixes,1200,StringMergeSort,958.09,14670
Common prefixes,1200,StringQuickSort,28.08,27530
Common prefixes,1200,MsdRadixSort,268.68,17220
Common prefixes,1200,MsdRadixQuickSort,154.62,16584
Random,1300,MergeSort,410.58,16058
Random,1300,QuickSort,214.93,199886
Random,1300,StringMergeSort,998.95,10650
Random,1300,StringQuickSort,23.98,21113
Random,1300,MsdRadixSort,186.86,5768
Random,1300,MsdRadixQuickSort,61.14,9146
Reverse sorted,1300,MergeSort,270.83,10306
Reverse sorted,1300,QuickSort,108.81,183616
Reverse sorted,1300,StringMergeSort,948.67,4706
Reverse sorted,1300,StringQuickSort,16.92,16965
Reverse sorted,1300,MsdRadixSort,168.38,6278
Reverse sorted,1300,MsdRadixQuickSort,61.98,9639
Almost sorted,1300,MergeSort,282.38,15840
Almost sorted,1300,QuickSort,136.42,191743
Almost sorted,1300,StringMergeSort,883.03,5987
Almost sorted,1300,StringQuickSort,19.72,17991
Almost sorted,1300,MsdRadixSort,148.27,6174
Almost sorted,1300,MsdRadixQuickSort,61.27,9460
Common prefixes,1300,MergeSort,463.82,55762
Common prefixes,1300,QuickSort,176.58,249846
Common prefixes,1300,StringMergeSort,1061.95,15943
Common prefixes,1300,StringQuickSort,29.85,32470
Common prefixes,1300,MsdRadixSort,304.62,18668
Common prefixes,1300,MsdRadixQuickSort,166.61,18039
Random,1400,MergeSort,494.32,17577
Random,1400,QuickSort,160.80,218370
Random,1400,StringMergeSort,1113.06,11635
Random,1400,StringQuickSort,26.96,21159
